latitude,longitude,availability_pct,wkt_geom
-90.00,-180.00,51.7,POINT(-180.0 -90.0)
-90.00,-150.00,51.7,POINT(-150.0 -90.0)
-90.00,-120.00,51.7,POINT(-120.0 -90.0)
-90.00,-90.00,51.7,POINT(-90.0 -90.0)
-90.00,-60.00,51.7,POINT(-60.0 -90.0)
-90.00,-30.00,51.7,POINT(-30.0 -90.0)
-90.00,0.00,51.7,POINT(0.0 -90.0)
-90.00,30.00,51.7,POINT(30.0 -90.0)
-90.00,60.00,51.7,POINT(60.0 -90.0)
-90.00,90.00,51.7,POINT(90.0 -90.0)
-90.00,120.00,51.7,POINT(120.0 -90.0)
-90.00,150.00,51.7,POINT(150.0 -90.0)
-90.00,180.00,51.7,POINT(180.0 -90.0)
-60.00,-180.00,11.7,POINT(-180.0 -60.0)
-60.00,-150.00,8.3,POINT(-150.0 -60.0)
-60.00,-120.00,10.0,POINT(-120.0 -60.0)
-60.00,-90.00,8.3,POINT(-90.0 -60.0)
-60.00,-60.00,10.0,POINT(-60.0 -60.0)
-60.00,-30.00,10.0,POINT(-30.0 -60.0)
-60.00,0.00,10.0,POINT(0.0 -60.0)
-60.00,30.00,6.7,POINT(30.0 -60.0)
-60.00,60.00,8.3,POINT(60.0 -60.0)
-60.00,90.00,8.3,POINT(90.0 -60.0)
-60.00,120.00,8.3,POINT(120.0 -60.0)
-60.00,150.00,8.3,POINT(150.0 -60.0)
-60.00,180.00,11.7,POINT(180.0 -60.0)
-30.00,-180.00,6.7,POINT(-180.0 -30.0)
-30.00,-150.00,8.3,POINT(-150.0 -30.0)
-30.00,-120.00,8.3,POINT(-120.0 -30.0)
-30.00,-90.00,10.0,POINT(-90.0 -30.0)
-30.00,-60.00,8.3,POINT(-60.0 -30.0)
-30.00,-30.00,8.3,POINT(-30.0 -30.0)
-30.00,0.00,10.0,POINT(0.0 -30.0)
-30.00,30.00,8.3,POINT(30.0 -30.0)
-30.00,60.00,8.3,POINT(60.0 -30.0)
-30.00,90.00,11.7,POINT(90.0 -30.0)
-30.00,120.00,10.0,POINT(120.0 -30.0)
-30.00,150.00,8.3,POINT(150.0 -30.0)
-30.00,180.00,6.7,POINT(180.0 -30.0)
0.00,-180.00,6.7,POINT(-180.0 0.0)
0.00,-150.00,3.3,POINT(-150.0 0.0)
0.00,-120.00,3.3,POINT(-120.0 0.0)
0.00,-90.00,3.3,POINT(-90.0 0.0)
0.00,-60.00,5.0,POINT(-60.0 0.0)
0.00,-30.00,3.3,POINT(-30.0 0.0)
0.00,0.00,3.3,POINT(0.0 0.0)
0.00,30.00,3.3,POINT(30.0 0.0)
0.00,60.00,5.0,POINT(60.0 0.0)
0.00,90.00,3.3,POINT(90.0 0.0)
0.00,120.00,3.3,POINT(120.0 0.0)
0.00,150.00,1.7,POINT(150.0 0.0)
0.00,180.00,6.7,POINT(180.0 0.0)
30.00,-180.00,6.7,POINT(-180.0 30.0)
30.00,-150.00,8.3,POINT(-150.0 30.0)
30.00,-120.00,8.3,POINT(-120.0 30.0)
30.00,-90.00,10.0,POINT(-90.0 30.0)
30.00,-60.00,8.3,POINT(-60.0 30.0)
30.00,-30.00,8.3,POINT(-30.0 30.0)
30.00,0.00,10.0,POINT(0.0 30.0)
30.00,30.00,8.3,POINT(30.0 30.0)
30.00,60.00,8.3,POINT(60.0 30.0)
30.00,90.00,11.7,POINT(90.0 30.0)
30.00,120.00,10.0,POINT(120.0 30.0)
30.00,150.00,8.3,POINT(150.0 30.0)
30.00,180.00,6.7,POINT(180.0 30.0)
60.00,-180.00,11.7,POINT(-180.0 60.0)
60.00,-150.00,8.3,POINT(-150.0 60.0)
60.00,-120.00,10.0,POINT(-120.0 60.0)
60.00,-90.00,8.3,POINT(-90.0 60.0)
60.00,-60.00,10.0,POINT(-60.0 60.0)
60.00,-30.00,8.3,POINT(-30.0 60.0)
60.00,0.00,10.0,POINT(0.0 60.0)
60.00,30.00,6.7,POINT(30.0 60.0)
60.00,60.00,8.3,POINT(60.0 60.0)
60.00,90.00,8.3,POINT(90.0 60.0)
60.00,120.00,8.3,POINT(120.0 60.0)
60.00,150.00,8.3,POINT(150.0 60.0)
60.00,180.00,11.7,POINT(180.0 60.0)
90.00,-180.00,51.7,POINT(-180.0 90.0)
90.00,-150.00,51.7,POINT(-150.0 90.0)
90.00,-120.00,51.7,POINT(-120.0 90.0)
90.00,-90.00,51.7,POINT(-90.0 90.0)
90.00,-60.00,51.7,POINT(-60.0 90.0)
90.00,-30.00,51.7,POINT(-30.0 90.0)
90.00,0.00,51.7,POINT(0.0 90.0)
90.00,30.00,51.7,POINT(30.0 90.0)
90.00,60.00,51.7,POINT(60.0 90.0)
90.00,90.00,51.7,POINT(90.0 90.0)
90.00,120.00,51.7,POINT(120.0 90.0)
90.00,150.00,51.7,POINT(150.0 90.0)
90.00,180.00,51.7,POINT(180.0 90.0)
